Precursor Ion,PNL1,PNL2,PNL3,PNL4,PNL5,PNL6,PNL7
600.4707,383.3159,411.3476,,,,,
628.5521,411.3473,439.3789,,,,,
656.5862,411.3458,439.3784,467.4092,,,,
708.6098,411.3466,491.4083,519.4393,,,,
812.6760,467.4080,567.4420,595.4714,,,,
740.6747,467.4102,495.4420,523.4737,,,,
736.6429,439.3783,491.4076,519.4411,547.4712,,,
684.6143,411.3451,439.3796,467.4106,495.4417,,,
712.6451,439.3781,467.4099,495.4415,593.4714,,,
740.6766,439.3786,467.4099,495.4412,523.4725,551.5038,,
820.7396,521.4572,547.4729,549.4879,575.5042,603.5355,,
764.6767,467.4088,491.4100,493.4250,519.4413,547.4726,575.5039,
710.6286,411.3462,439.3769,465.3932,467.4088,493.4245,521.4558,549.4868
766.6917,439.3774,467.4093,493.4250,495.4400,521.4563,549.4876,577.5189
